,table1,col1,table2,col2,sim_score
382,Rajagopal2022-02,Add New Information,Daxenberger2013-17,Information-Deletion,0.35813266
383,Daxenberger2013-17,Information-Deletion,Rajagopal2022-02,Add New Information,0.35813266
384,Falting2021-04,Clarification,Guo2022-16,Citation,0.35676518
385,Guo2022-16,Citation,Falting2021-04,Clarification,0.35676518
386,Falting2021-04,Simplification,Liu2014-14,Sentence modification,0.35392967
387,Yang2017-01,Simplification,Jones2008-13,Significant Deletion,0.3535948
388,Yang2017-01,Simplification,Jones2008-13,Significant Addition,0.3535948
389,Jones2008-13,Significant Deletion,Yang2017-01,Simplification,0.3535948
390,Jones2008-13,Significant Addition,Yang2017-01,Simplification,0.3535948
391,Spangher2022-05,Addition,Jones2008-13,Significant Addition,0.35292166
392,Spangher2022-05,Deletion,Jones2008-13,Significant Deletion,0.35292166
393,Jones2008-13,Significant Deletion,Spangher2022-05,Deletion,0.35292166
394,Jones2008-13,Significant Addition,Spangher2022-05,Addition,0.35292166
395,Liu2014-14,Sentence modification,Falting2021-04,Simplification,0.351605
396,Falting2021-04,Simplification,Jones2008-13,Significant Deletion,0.35069367
397,Falting2021-04,Simplification,Jones2008-13,Significant Addition,0.35069367
398,Jones2008-13,Significant Deletion,Falting2021-04,Simplification,0.35069367
399,Jones2008-13,Significant Addition,Falting2021-04,Simplification,0.35069367
400,Rajagopal2022-02,Fact Update,Guo2022-16,Dynamic Update,0.3501202
401,Guo2022-16,Dynamic Update,Rajagopal2022-02,Fact Update,0.3501202
402,Spangher2022-05,Addition,Pfeil2006-12,Add Information,0.34835643
403,Pfeil2006-12,Add Information,Spangher2022-05,Addition,0.34835643
404,Zhang2015-06,Conventions/Grammar/Spelling,Daxenberger2012-09,Spelling/Grammar,0.34559005
405,Zhang2015-06,Conventions/Grammar/Spelling,Daxenberger2013-17,Spelling/Grammar,0.34559005
406,Daxenberger2012-09,Spelling/Grammar,Zhang2015-06,Conventions/Grammar/Spelling,0.34559005
407,Daxenberger2013-17,Spelling/Grammar,Zhang2015-06,Conventions/Grammar/Spelling,0.34559005
408,Yang2016-08,Relocation,Guo2022-16,Citation,0.3433035
409,Guo2022-16,Citation,Yang2016-08,Relocation,0.3433035
410,Daxenberger2012-09,Relocation,Guo2022-16,Citation,0.34171325
411,Guo2022-16,Citation,Daxenberger2012-09,Relocation,0.34171325
412,Guo2022-16,Citation,Daxenberger2013-17,Relocation,0.34171325
413,Daxenberger2013-17,Relocation,Guo2022-16,Citation,0.34171325
414,Zhang2016-11,Organization,Guo2022-16,Neutralization,0.34148693
415,Guo2022-16,Neutralization,Zhang2016-11,Organization,0.34148693
416,Zhang2015-06,Organization,Guo2022-16,Neutralization,0.3381418
417,Guo2022-16,Neutralization,Zhang2015-06,Organization,0.3381418
418,Anthonio2020-03,Spelling/Grammar,Zhang2015-06,Conventions/Grammar/Spelling,0.33502695
419,Zhang2015-06,Conventions/Grammar/Spelling,Anthonio2020-03,Spelling/Grammar,0.33502695
420,Yang2016-08,Relocation,Pfeil2006-12,Reversion,0.3346312
421,Pfeil2006-12,Reversion,Yang2016-08,Relocation,0.3346312
422,Zhang2015-06,Word-usage/Clarity,Du2022-07,Clarity,0.3334493
423,Du2022-07,Clarity,Zhang2015-06,Word-usage/Clarity,0.3334493
424,Daxenberger2012-09,File-Deletion,Jones2008-13,Significant Deletion,0.33130723
425,Jones2008-13,Significant Deletion,Daxenberger2012-09,File-Deletion,0.33130723
