,table1,col1,table2,col2,sim_score
4400,Yang2016-08,Markup-Inserion,Liu2014-14,Reference insertion,0.08742510125931362
4401,Anthonio2020-03,Paraphrase,Failgey1981-10,Spelling,0.0874110581399964
4402,Zhang2015-06,Organization,Failgey1981-10,Meaning-Preserving-Addition,0.08725983056437304
4403,Zhang2015-06,Organization,Failgey1981-10,Meaning-Preserving-Deletion,0.08725983056437304
4404,Zhang2015-06,Word-usage/Clarity,Failgey1981-10,Format,0.08725983056437304
4405,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Meaning-Preserving-Addition,0.08725983056437304
4406,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Meaning-Preserving-Deletion,0.08725983056437304
4407,Zhang2015-06,General Content,Failgey1981-10,Meaning-Preserving-Deletion,0.08725983056437304
4408,Yang2016-08,File-Deletion,Jones2008-13,Fix or Delete Image,0.08717053783440075
4409,Yang2017-01,Copy Editing,Jones2008-13,Structual Changes,0.08716271560615986
4410,Yang2017-01,Counter Vandalism,Jones2008-13,Revert,0.08716271560615986
4411,Yang2017-01,Counter Vandalism,Jones2008-13,Disambiguation,0.08716271560615986
4412,Yang2017-01,Counter Vandalism,Jones2008-13,Add Image,0.08716271560615986
4413,Yang2017-01,Counter Vandalism,Jones2008-13,Add Link,0.08716271560615986
4414,Yang2017-01,Elaboration,Jones2008-13,Structual Changes,0.08716271560615986
4415,Yang2017-01,Simplification,Jones2008-13,Structual Changes,0.08716271560615986
4416,Yang2017-01,Vandalism,Jones2008-13,Structual Changes,0.08716271560615986
4417,Yang2017-01,Wikification,Jones2008-13,Structual Changes,0.08716271560615986
4418,Yang2017-01,Clarification,Jones2008-13,Structual Changes,0.08716271560615985
4419,Yang2016-08,External Link-Modification,Zhang2016-11,Conventions,0.08713215418900751
4420,Falting2021-04,Refactoring,Jones2008-13,Disambiguation,0.08711738449635895
4421,Falting2021-04,Copy-editing,Jones2008-13,Disambiguation,0.08711738449635895
4422,Falting2021-04,Fact Update,Jones2008-13,Disambiguation,0.08711738449635895
4423,Falting2021-04,Simplification,Jones2008-13,Vandalism,0.08711738449635895
4424,Falting2021-04,Verifiability,Jones2008-13,Disambiguation,0.08711738449635895
4425,Falting2021-04,Unlabeled,Jones2008-13,Disambiguation,0.08711738449635895
4426,Falting2021-04,Process,Jones2008-13,Revert,0.08711738449635895
4427,Yang2017-01,Counter Vandalism,Pfeil2006-12,Format,0.08705561493294475
